Категория,Статья,Q1 2025,Q2 2025,Q3 2025,Q4 2025,Итого 2026,Примечания
Начальные Инвестиции,РСА Инвестиции,300000,200000,0,0,0,Два транша инвестиций
Доходы,Подписки сообщества,0,5000,15000,30000,200000,Рост базы пользователей
Доходы,Премиум функции,0,2000,8000,20000,150000,Внедрение премиум-функций
Доходы,Доход от партнерств,0,0,5000,15000,100000,Стратегические партнерства
Общий доход,Сумма,0,7000,28000,65000,450000,
Операционные расходы,Команда разработки,45000,45000,50000,50000,220000,3-4 разработчика
Операционные расходы,Продукт-менеджмент,15000,15000,20000,20000,85000,Управление продуктом
Операционные расходы,Маркетинг,10000,15000,20000,25000,100000,Рост и продвижение
Операционные расходы,Инфраструктура,3000,4000,5000,6000,30000,AWS/Серверы
Операционные расходы,Юридические услуги,5000,5000,5000,5000,24000,Базовые услуги
Операционные расходы,Инструменты и ПО,2000,2000,3000,3000,15000,Инструменты разработки
Общие расходы,Сумма,80000,86000,103000,109000,474000,
Денежный поток,Чистый,(80000),1000,(75000),(44000),(24000),До следующих инвестиций
Срок работы (месяцев),Остаток,15,12,9,6,,На основе расхода средств
Ключевые показатели,Активные пользователи,0,100,500,2000,10000,Целевой рост
Ключевые показатели,Конверсия %,0,2,3,5,8,Платная конверсия
Ключевые показатели,Стоимость привлечения ($),0,200,150,100,80,Привлечение клиента
Ключевые показатели,Пожизненная ценность ($),0,300,400,500,600,Ценность клиента
Этапы,Продукт,Запуск MVP,Бета-версия,Релиз V1,Релиз V2,Масштабирование,Этапы разработки
Этапы,Сообщество,Формирование,100 Активных,500 Активных,2000 Активных,10000,Рост сообщества
Условия инвестирования,Сумма на инвестора,10000,10000,10000,10000,10000,Минимальная инвестиция
Условия инвестирования,Доля от выручки %,1,1,1,1,1,На 10к инвестиций
Условия инвестирования,Максимальный множитель,2x,2x,2x,2x,2x,Максимальная доходность